Wavelength (nm),Air_n,Air_k,Spiro_n,Spiro_k,TiO2_n,TiO2_k,SodaLime_n,SodaLime_k,Perov_n,Perov_k,PerovPtPt_n,PerovPtPt_k,Au_n,Au_k,SnO2_n,SnO2_k,SiO2_n,SiO2_k,FTO_n,FTO_k,FTema_n,FTema_k,FAema_n,FAema_k,TPema_n,TPema_k,SpiroTFSI4Ox_n,SpiroTFSI4Ox_k,SpOxema_n,SpOxema_k
378,1,0,1.77175,0.44266,2.41981,0.00143,1.52923,5.29E-07,2.05418,1.07684,2.05253,1.12736,1.46515,1.92322,1.95964,0.02877,1.49532,0,2.02294,0.00721,2.1052,0.04632,1.65009,0.00457,2.30875,0.39154,1.77983,0.40949,1.77E+00,4.39E-01
379,1,0,1.78024,0.44411,2.4145,0.00135,1.52899,5.21E-07,2.06104,1.07111,2.06177,1.12368,1.46368,1.92601,1.95855,0.02851,1.49519,0,2.02184,0.00715,2.10351,0.04496,1.64937,0.00453,2.30769,0.38897,1.78817,0.41005,1.78E+00,4.41E-01
380,1,0,1.78874,0.44542,2.40984,0.00109,1.52884,5.13E-07,2.06777,1.06527,2.06925,1.11808,1.46221,1.92881,1.95758,0.02826,1.49507,0,2.02065,0.00708,2.10184,0.0436,1.64873,0.00449,2.30699,0.38627,1.79656,0.41054,1.79E+00,4.42E-01
381,1,0,1.79787,0.44675,2.40526,7.68E-04,1.52865,5.05E-07,2.07414,1.05946,2.078,1.11089,1.46074,1.9316,1.95661,0.02802,1.49495,0,2.01956,0.00703,2.10022,0.04225,1.64801,0.00445,2.30621,0.38357,1.80536,0.41085,1.80E+00,4.43E-01
382,1,0,1.80705,0.44864,2.40044,5.22E-04,1.52853,4.98E-07,2.08034,1.05353,2.08728,1.10763,1.46031,1.9336,1.95563,0.0278,1.49483,0,2.01853,0.00697,2.09858,0.04088,1.64735,0.00442,2.3052,0.38087,1.81434,0.4111,1.81E+00,4.45E-01
383,1,0,1.8167,0.44999,2.39583,4.19E-04,1.52841,4.90E-07,2.08625,1.04765,2.09514,1.09837,1.46094,1.93479,1.95466,0.02759,1.49471,0,2.01747,0.00691,2.0969,0.03953,1.64664,0.00438,2.30421,0.3783,1.82368,0.41104,1.82E+00,4.46E-01
384,1,0,1.82675,0.45177,2.39133,6.84E-04,1.52819,4.84E-07,2.0919,1.04174,2.10496,1.09304,1.46157,1.93599,1.95379,0.02739,1.49459,0,2.01638,0.00686,2.09533,0.03819,1.64602,0.00435,2.30319,0.37597,1.83326,0.4108,1.83E+00,4.48E-01
385,1,0,1.83721,0.45313,2.38656,0,1.52806,4.77E-07,2.09732,1.03577,2.11069,1.08532,1.4622,1.93718,1.95285,0.02719,1.49446,0,2.01528,0.00681,2.09374,0.03685,1.64529,0.00431,2.30193,0.37303,1.84344,0.41011,1.84E+00,4.49E-01
386,1,0,1.84814,0.455,2.38161,0,1.52789,4.71E-07,2.10248,1.02988,2.11767,1.0816,1.46283,1.93838,1.952,0.027,1.49434,0,2.01425,0.00676,2.09216,0.03553,1.64462,0.00428,2.30045,0.37055,1.85375,0.4092,1.85E+00,4.50E-01
387,1,0,1.86034,0.45607,2.37651,0,1.52772,4.65E-07,2.10742,1.02398,2.12494,1.07329,1.46346,1.93957,1.95115,0.0268,1.49422,0,2.0132,0.00671,2.09059,0.03421,1.64393,0.00425,2.29879,0.36808,1.86445,0.4079,1.86E+00,4.51E-01
388,1,0,1.87329,0.45595,2.37102,0,1.5276,4.59E-07,2.1121,1.0181,2.1333,1.0671,1.46409,1.94077,1.9503,0.02661,1.4941,0,2.0122,0.00666,2.089,0.0329,1.6433,0.00422,2.29678,0.36561,1.87561,0.40619,1.87E+00,4.51E-01
389,1,0,1.88672,0.45479,2.36567,0,1.52746,4.53E-07,2.11655,1.0123,2.13924,1.06135,1.46472,1.94196,1.94945,0.02641,1.49398,0,2.01113,0.00661,2.08743,0.03161,1.64268,0.00419,2.29478,0.36319,1.88723,0.40393,1.89E+00,4.50E-01
390,1,0,1.90089,0.4522,2.36054,0,1.52726,4.47E-07,2.12085,1.00649,2.14405,1.0528,1.46535,1.94316,1.94864,0.02622,1.4939,0,2.01012,0.00656,2.08589,0.03032,1.64199,0.00416,2.29286,0.36078,1.89923,0.40112,1.90E+00,4.47E-01
391,1,0,1.91587,0.44834,2.35541,0,1.52707,4.41E-07,2.12493,1.00072,2.14998,1.04982,1.46597,1.94435,1.94785,0.02603,1.49384,0,2.00908,0.00652,2.08442,0.02905,1.64138,0.00413,2.29087,0.35839,1.91151,0.39763,1.92E+00,4.43E-01
392,1,0,1.93099,0.44312,2.35022,0,1.52691,4.36E-07,2.12875,0.99505,2.15543,1.04403,1.4666,1.94555,1.94709,0.02584,1.49371,0,2.00812,0.00648,2.08289,0.0278,1.64077,0.0041,2.28874,0.35605,1.92392,0.39335,1.93E+00,4.38E-01
393,1,0,1.94683,0.43622,2.34553,0,1.52679,4.31E-07,2.13241,0.9894,2.16088,1.03651,1.46723,1.94674,1.94626,0.02565,1.49359,0,2.00704,0.00643,2.08141,0.02657,1.64006,0.00408,2.28687,0.35374,1.93655,0.38822,1.95E+00,4.31E-01
